ID_PUBLISHER;PUBLISHER;HEADQUARTERS_COUNTRY;HEADQUARTERS_CITY;CREATION_DATE;NOTES
07thexpansion;07th Expansion;Japan;;01/01/2002;""
11bitstudios;11 bit studios;Poland;Warsaw;01/01/2010;"Also a video game developer, marketer, and distributor"
1ccompany;1C Company;Russia;Moscow;01/01/1991;"Specializes in localization for Russia."
2kgames;2K Games;United States;Novato;01/01/2005;"Also a video game developer, marketer, and distributor. Subsidiary and publishing label of Take-Two Interactive."
3drealms;3D Realms;United States;Garland;01/01/1987;"Also a video game developer. Also known as Apogee Software, Ltd."
the3docompany;The 3DO Company;United States;Redwood City;01/01/1991;"Also a video game and video game console developer."
505games;505 Games;Italy;Milan;01/01/2006;"Publishing division of Digital Bros. group."
5pb;5pb.;Japan;Tokyo;01/01/2005;"Label of KID until 2006, and of Cyberfront since then."
7thlevel;7th Level;United States;Dallas;01/01/1993;"Defunct in 1998."
afsoftware;A&F Software;UK;Rochdale;01/01/1981;"Merged with MC Lothlorien in 1986 to become Icon Design Ltd."
aackosoft;Aackosoft;Netherlands;Zoeterwoude;01/01/1983;"Defunct in 1988."
aardvarksoftware;Aardvark Software;UK;;01/01/1983;"Defunct in 1989."
abcsoftware;ABC Software;Switzerland;Buchs;01/01/1991;"Acquired by Electronic Arts in 1998."
absoluteentertainment;Absolute Entertainment;United States;Upper Saddle River;01/01/1986;"Defunct in 1995."
accesssoftware;Access Software;United States;Salt Lake City;01/01/1982;"Acquired by Microsoft in 1999; defunct in 2006."
acclaimentertainment;Acclaim Entertainment;United States;Glen Cove;01/01/1987;"Brand name acquired by Acclaim Games, and intellectual property acquired by Throwback Entertainment."
accolade;Accolade;United States;California;01/01/1984;"Also a video game developer. Acquired by Atari, SA née Infogrames in 1999, name retired."
acornsoft;Acornsoft;UK;Cambridge;01/01/1980;"Rights sold to Superior Software in 1986."
acquire;Acquire;Japan;Tokyo;01/01/1994;"Acquired by GungHo Online Entertainment in 2011"
activegamingmediaagm;Active Gaming Media AGM;Japan;Osaka;01/01/2006;"PLAYISM part of Active Gaming Media Inc., focuses on the localization and distribution of video games."
activision;Activision;United States;Santa Monica;01/01/1979;"Also a video game developer. Acquired Neversoft in 1999 and Infinity Ward in 2003; acquired several other developers as well. Merged with Vivendi to form Activision Blizzard in 2008."
activisionblizzard;Activision Blizzard;United States;Santa Monica;01/01/2008;"Formed by merger between Activision and Vivendi Games in 2008."
addictivegames;Addictive Games;UK;Milton Keynes;01/01/1982;"Acquired by Prism Leisure Corporation in 1987, which continued to use the Addictive Games label until 1992."
theadventurecompany;The Adventure Company;Canada;Toronto;01/01/2002;"Label of DreamCatcher Interactive until 2006, of JoWooD Productions Software from then until 2011, and of Nordic Games since then."
adventureinternational;Adventure International;United States;Longwood;01/01/1978;"Defunct in 1985."
adventuresoft;Adventure Soft;UK;Birmingham;01/01/1983;"Still sells old games but no longer publishes new games under the name."
affect;Affect;Japan;;01/01/1990;"Defunct in 2008."
agatsumaentertainment;Agatsuma Entertainment;Japan;Tokyo;01/01/1997;"Defunct in 2016."
age;Age;Japan;Tokyo;01/01/1999;"Division of Acid Co., Ltd."
ageod;AGEod;France;Grenoble;01/01/2005;"Acquired by Paradox Interactive in 2009 and renamed to Paradox France. They became independent in 2012 and their games are now published by The Slitherine Group."
agetec;Agetec;United States;Sunnyvale;01/01/1998;"Focuses on distributing Japanese titles in the US."
akabeisoft2;Akabeisoft2;Japan;;01/01/2005;""
akella;Akella;Russia;Moscow;01/01/1995;"Also a video game developer. Defunct in 2012."
akuparagames;Akupara Games;United States;Los Angeles;01/01/2016;"Also a video game developer, and does work for hire console and mobile porting."
aksys;Aksys;United States;Torrance;01/01/2006;""
alcot;ALcot;Japan;;01/01/2003;""
alicesoft;AliceSoft;Japan;;01/01/1989;""
alphadream;AlphaDream;Japan;Tokyo;01/01/2000;"No longer publishes video games."
adk;ADK;Japan;Ageo;01/01/1980;"Known as Alpha Denshi Corporation in 1993. Defunct in 2003."
alchemist;Alchemist;Japan;Tokyo;01/01/1991;"Defunct in 2016."
alligata;Alligata;UK;Sheffield;01/01/1983;"Acquired by Superior Software in 1987."
allumer;Allumer;Japan;Tokyo;01/01/1983;"Defunct in 1999."
alten8;Alten8;UK;Luton;01/01/2005;"Also a video game developer."
alternativesoftware;Alternative Software;UK;Castleford;01/01/1985;""
americangamecartridges;American Game Cartridges;United States;Chandler;01/01/1990;"Defunct in 1994."
americanlasergames;American Laser Games;United States;Albuquerque;01/01/1989;"Acquired by its former division, Her Interactive, in 1999."
americanvideoentertainment;American Video Entertainment;United States;San Jose;01/01/1990;"Published last game in 1994."
amplitudestudios;Amplitude Studios;France;Paris;01/01/2011;"Acquired by Sega in 2016 and their games are now published by Sega."
amsoft;Amsoft;UK;Brentwood;01/01/1984;"Publishing arm of Amstrad until 1989."
analogsoftware;ANALOG Software;United States;Worcester;01/01/1981;"Software publishing arm of ANALOG Computing. Defunct in 1989."
andamiro;Andamiro;South Korea;Seoul;01/01/1992;"Known as Oksan Entertainment Co. Ltd. until 1999."
anticsoftware;Antic Software;United States;Marion;01/01/1982;"Software publishing arm of Antic. Defunct in 1990."
anuman;Anuman;France;;01/01/2000;"Also a video game developer."
apfelectronicsinc;APF Electronics Inc.;United States;New York City;01/01/1970;"Defunct in 1983."
apogeesoftware;Apogee Software;United States;;01/01/2008;"Also a video game developer."
appleinc;Apple Inc.;United States;Cupertino;01/01/1976;"Known as Apple Computer until 2007."
aquaplus;Aquaplus;Japan;Osaka;01/01/1994;""
aqinteractive;AQ Interactive;Japan;Tokyo;01/01/2005;"Defunct in 2011."
arcadiasystems;Arcadia Systems;United States;Costa Mesa;01/01/1987;"Division of Mastertronic. Defunct in 1991."
arcsystemworks;Arc System Works;Japan;Tokyo;01/01/1988;"Also a video game developer."
arguspress;Argus Press;UK;;01/01/1966;"Published games through its Argus Press Software division, which was acquired in 1987 and renamed Grandslam Entertainment."
arika;Arika;Japan;Tokyo;01/01/1995;"Also a video game developer."
ariolasoft;Ariolasoft;Germany;;01/01/1983;"Software publishing arm of Ariola Records. Reestablished as United Software in 1990."
armorgames;Armor Games;United States;;01/01/2005;"Published flash titles before branching out into mobile, PC, and console markets."
arsyssoftware;Arsys Software;Japan;Tokyo;01/01/1985;"Defunct in 2001."
artdink;Artdink;Japan;Tokyo;01/01/1986;""
articcomputing;Artic Computing;UK;Brandesburton;01/01/1980;"Defunct in 1986."
arushentertainment;Arush Entertainment;United States;Scottsdale;01/01/1999;"Acquired by HIP Interactive in 2004; defunct in 2005."
arxeltribe;Arxel Tribe;Slovenia;;01/01/1989;"Last game published in 2003."
ascaron;Ascaron;Germany;Gütersloh;01/01/1992;"Known as Ascom until 1996. Defunct in 2009. Most assets acquired by Kalypso Media."
ascgames;ASC Games;United States;Darien;01/01/1992;"Defunct in 2000."
asmikcorporationofamerica;Asmik Corporation of America;Japan;;01/01/1985;"Merged with Ace Entertainment."
aspyrmedia;Aspyr Media;United States;Austin;01/01/1996;"Specializes in porting Windows games to Mac OS."
astragon;Astragon;Germany;Mönchengladbach;01/01/2000;""
atariinc;Atari, Inc;United States;Sunnyvale;01/01/1972;"Bought by Warner Bros. in 1976. Closed in 1984, assets split between Atari Corporation and Atari Games."
atarisa;Atari, SA;France;Paris;01/01/2003;"Formerly GT Interactive Software, became full subsidiary of Atari, SA in 2008."
athena;Athena;Japan;;01/01/1987;"No longer publishes video games."
atlantissoftware;Atlantis Software;UK;London;01/01/1984;"Defunct in 1992."
aqinteractive;AQ Interactive;Japan;Tokyo;01/01/2000;"Also a video game developer."
artechdigitalentertainment;Artech Digital Entertainment;Canada;Ottawa;01/01/1982;"Defunct in 2011."
asciicorporation;ASCII Corporation;Japan;Tokyo;01/01/1977;"Acquired by Kadokawa Group Holdings in 2004."
atlus;Atlus;Japan;Shinjuku;01/01/1986;"Also a video game developer. Purchased by Sega in 2013."
atticentertainmentsoftware;Attic Entertainment Software;Germany;Albstadt;01/01/1990;"Defunct in 2001."
audiogeniclimited;Audiogenic Limited;UK;Reading;01/01/1975;"Defunct in 1985; reformed as Audiogenic Software Ltd."
august;August;Japan;;01/01/2001;""
aurandevelopment;Auran Development;Australia;Helensvale;01/01/1995;"Now known as N3V Games."
automatauk;Automata UK;UK;Portsmouth;01/01/1977;"Defunct in 1985."
autumngames;Autumn Games;United States;New York City;01/01/2007;"Focused on providing publishing services for independent developers for digital platforms."
avalonhill;Avalon Hill;United States;Renton;01/01/1954;"Acquired by Hasbro in 1998."
aventurasad;Aventuras AD;Spain;;01/01/1987;"Defunct in 1992."
aventurinesa;Aventurine SA;Greece;Athens;01/01/2002;"Also a video game developer."
bamentertainment;BAM! Entertainment;United States;San Jose;01/01/1999;"Dormant since 2004."
bandaigames;Bandai Games;Japan;Shinagawa;01/01/1950;"Video game operations merged with Namco as Namco Bandai Games. No longer publishes video games."
bandainamcoentertainment;Bandai Namco Entertainment;Japan;Shinagawa;01/01/1955;""
banpresto;Banpresto;Japan;Shinagawa;01/01/1977;"Acquired by Namco Bandai Holdings. No longer publishes video games."
bbcmultimedia;BBC Multimedia;UK;London;01/01/1995;"Defunct in 2005."
beaglebros;Beagle Bros;United States;San Diego;01/01/1980;"Defunct in 1991."
bergsalalightweight;Bergsala Lightweight;Japan;Tokyo;01/01/1995;""
berkeleysystems;Berkeley Systems;United States;Berkeley;01/01/1987;"Acquired by Sierra in 1997. Defunct in 2000."
bethesdasoftworks;Bethesda Softworks;United States;Rockville;01/01/1986;"Also a video game developer."
beyondsoftware;Beyond Software;United Kingdom;;01/01/1983;"Acquired by Telecomsoft in 1985."
bigfishgames;Big Fish Games;United States;Seattle;01/01/2002;"Acquired by Aristocrat Technologies in 2018"
bigfivesoftware;Big Five Software;United States;Van Nuys;01/01/1980;"Defunct in 1984."
bigbeninteractive;Bigben Interactive;France;Lesquin;01/01/1981;""
blackbeangames;Black Bean Games;Italy;Gazzada Schianno;01/01/2004;"Merged with Milestone S.r.l. in 2012."
