ID_GAME;GAME;ID_PLATFORM;YEAR_RELEASE;GENRE;ID_PUBLISHER;PUBLISHER;NA_SALES;EU_SALES;JP_SALES;OTHER_SALES;GLOBAL_SALES;CRITIC_SCORE;CRITIC_COUNT;USER_SCORE;USER_COUNT;ID_DEVELOPER;DEVELOPER;RATING
wiisports;Wii Sports;Wii;01/01/2006;Sports;nintendo;Nintendo;41360000;28960000;3770000;8450000;82530000;76;51;8;322;nintendo;Nintendo;E
supermariobros;Super Mario Bros.;NES;01/01/1985;Platform;nintendo;Nintendo;29080000;3580000;6810000;770000;40240000;;;;;;;
mariokartwii;Mario Kart Wii;Wii;01/01/2008;Racing;nintendo;Nintendo;15680000;12760000;3790000;3290000;35520000;82;73;8.3;709;nintendo;Nintendo;E
wiisportsresort;Wii Sports Resort;Wii;01/01/2009;Sports;nintendo;Nintendo;15610000;10930000;3280000;2950000;32770000;80;73;8;192;nintendo;Nintendo;E
pokemonredpokemonblue;Pokemon Red/Pokemon Blue;GB;01/01/1996;Role-Playing;nintendo;Nintendo;11270000;8890000;10220000;1000000;31370000;;;;;;;
tetris;Tetris;GB;01/01/1989;Puzzle;nintendo;Nintendo;23200000;2260000;4220000;580000;30260000;;;;;;;
newsupermariobros;New Super Mario Bros.;DS;01/01/2006;Platform;nintendo;Nintendo;11280000;9140000;6500000;2880000;29800000;89;65;8.5;431;nintendo;Nintendo;E
wiiplay;Wii Play;Wii;01/01/2006;Misc;nintendo;Nintendo;13960000;9180000;2930000;2840000;28920000;58;41;6.6;129;nintendo;Nintendo;E
newsupermariobroswii;New Super Mario Bros. Wii;Wii;01/01/2009;Platform;nintendo;Nintendo;14440000;6940000;4700000;2240000;28320000;87;80;8.4;594;nintendo;Nintendo;E
duckhunt;Duck Hunt;NES;01/01/1984;Shooter;nintendo;Nintendo;26930000;630000;280000;470000;28310000;;;;;;;
nintendogs;Nintendogs;DS;01/01/2005;Simulation;nintendo;Nintendo;9050000;10950000;1930000;2740000;24670000;;;;;;;
mariokartds;Mario Kart DS;DS;01/01/2005;Racing;nintendo;Nintendo;9710000;7470000;4130000;1900000;23210000;91;64;8.6;464;nintendo;Nintendo;E
pokemongoldpokemonsilver;Pokemon Gold/Pokemon Silver;GB;01/01/1999;Role-Playing;nintendo;Nintendo;9000000;6180000;7200000;710000;23100000;;;;;;;
wiifit;Wii Fit;Wii;01/01/2007;Sports;nintendo;Nintendo;8920000;8030000;3600000;2150000;22700000;80;63;7.7;146;nintendo;Nintendo;E
kinectadventures;Kinect Adventures!;X360;01/01/2010;Misc;microsoftgamestudios;Microsoft Game Studios;15000000;4890000;240000;1690000;21810000;61;45;6.3;106;goodsciencestudio;Good Science Studio;E
wiifitplus;Wii Fit Plus;Wii;01/01/2009;Sports;nintendo;Nintendo;9010000;8490000;2530000;1770000;21790000;80;33;7.4;52;nintendo;Nintendo;E
grandtheftautov;Grand Theft Auto V;PS3;01/01/2013;Action;taketwointeractive;Take-Two Interactive;7020000;9090000;980000;3960000;21040000;97;50;8.2;3994;rockstarnorth;Rockstar North;M
